"Category","ProgramName","DocType","Time","FileName","SourcePath"
"교육자료","디자인 스프린트 강의용","교재","","교육자료_디자인 스프린트 강의용_교재.txt","교육자료/교육자료_디자인 스프린트 강의용_교재.txt"
"교육자료","디자인씽킹","교재","","교육자료_디자인씽킹_교재.txt","교육자료/교육자료_디자인씽킹_교재.txt"
"교육자료","온라인 퍼실리테이션 마스터과정","교재","","교육자료_온라인 퍼실리테이션 마스터과정_교재.txt","교육자료/교육자료_온라인 퍼실리테이션 마스터과정_교재.txt"
"교육자료","퍼실리테이터 양성 기본 과정","교재","","교육자료_퍼실리테이터 양성 기본 과정_교재.txt","교육자료/교육자료_퍼실리테이터 양성 기본 과정_교재.txt"
"문제해결","조직01 파트장 워크숍","SensingReport","","문제해결_조직01 파트장 워크숍_SensingReport.txt","문제해결/문제해결_조직01 파트장 워크숍_SensingReport.txt"
"문제해결","조직07 워크숍","계획서","7H","문제해결_조직07 워크숍_계획서_7H.txt","문제해결/문제해결_조직07 워크숍_계획서_7H.txt"
"문제해결","조직08 프로젝트02 퍼실리테이션 워크숍","진행자료","7H","문제해결_조직08 프로젝트02 퍼실리테이션 워크숍_진행자료_7H.txt","문제해결/문제해결_조직08 프로젝트02 퍼실리테이션 워크숍_진행자료_7H.txt"
"문제해결","조직09 프로젝트02 퍼실리테이션 워크숍 rev1","DetailAgenda","7H","문제해결_조직09 프로젝트02 퍼실리테이션 워크숍 rev1_DetailAgenda_7H.txt","문제해결/문제해결_조직09 프로젝트02 퍼실리테이션 워크숍 rev1_DetailAgenda_7H.txt"
"문제해결","조직22 파트장 역할 정립 워크숍 V1","DetailAgenda","8H","문제해결_조직22 파트장 역할 정립 워크숍 V1_DetailAgenda_8H.txt","문제해결/문제해결_조직22 파트장 역할 정립 워크숍 V1_DetailAgenda_8H.txt"
"문제해결","조직22 파트장 역할정립 워크숍","진행자료","","문제해결_조직22 파트장 역할정립 워크숍_진행자료.txt","문제해결/문제해결_조직22 파트장 역할정립 워크숍_진행자료.txt"
"문제해결","조직35 브레인스토밍 워크숍 Town Meeting","DetailAgenda","","문제해결_조직35 브레인스토밍 워크숍 Town Meeting_DetailAgenda.txt","문제해결/문제해결_조직35 브레인스토밍 워크숍 Town Meeting_DetailAgenda.txt"
"문제해결","조직36 인터뷰 안내문","안내문","","문제해결_조직36 인터뷰 안내문_안내문.txt","문제해결/문제해결_조직36 인터뷰 안내문_안내문.txt"
"문제해결","조직37 브레인스토밍 Workshop","진행자료","","문제해결_조직37 브레인스토밍 Workshop_진행자료.txt","문제해결/문제해결_조직37 브레인스토밍 Workshop_진행자료.txt"
"미션","조직15 미션 워크숍","DetailAgenda","4H","미션_조직15 미션 워크숍_DetailAgenda_4H.txt","미션/미션_조직15 미션 워크숍_DetailAgenda_4H.txt"
"미션","조직15 미션 워크숍","진행자료","4H","미션_조직15 미션 워크숍_진행자료_4H.txt","미션/미션_조직15 미션 워크숍_진행자료_4H.txt"
"비전","조직06 비전 워크숍","진행자료","","비전_조직06 비전 워크숍_진행자료.txt","비전/비전_조직06 비전 워크숍_진행자료.txt"
"비전","조직06 비전워크숍","DetailAgenda","4H","비전_조직06 비전워크숍_DetailAgenda_4H.txt","비전/비전_조직06 비전워크숍_DetailAgenda_4H.txt"
"비전","조직06 퍼실리테이션 워크숍","계획서","","비전_조직06 퍼실리테이션 워크숍_계획서.txt","비전/비전_조직06 퍼실리테이션 워크숍_계획서.txt"
"비전","조직25","SensingReport","","비전_조직25_SensingReport.txt","비전/비전_조직25_SensingReport.txt"
"비전","조직29 비전 수립 경영전략 워크숍","DetailAgenda","6H+8H","비전_조직29 비전 수립 경영전략 워크숍_DetailAgenda_6H+8H.txt","비전/비전_조직29 비전 수립 경영전략 워크숍_DetailAgenda_6H+8H.txt"
"비전","조직30 비전 수립 및 경영전략 워크숍","진행자료","14H","비전_조직30 비전 수립 및 경영전략 워크숍_진행자료_14H.txt","비전/비전_조직30 비전 수립 및 경영전략 워크숍_진행자료_14H.txt"
"비전","조직30","SensingReport","","비전_조직30_SensingReport.txt","비전/비전_조직30_SensingReport.txt"
"비전","조직31 Vision 워크숍","DetailAgenda","4H","비전_조직31 Vision 워크숍_DetailAgenda_4H.txt","비전/비전_조직31 Vision 워크숍_DetailAgenda_4H.txt"
"비전","조직31 Vision 워크숍","진행자료","","비전_조직31 Vision 워크숍_진행자료.txt","비전/비전_조직31 Vision 워크숍_진행자료.txt"
"비전","조직32 비전 워크숍","진행자료","","비전_조직32 비전 워크숍_진행자료.txt","비전/비전_조직32 비전 워크숍_진행자료.txt"
"비전","조직32 비전워크숍","DetailAgenda","4H","비전_조직32 비전워크숍_DetailAgenda_4H.txt","비전/비전_조직32 비전워크숍_DetailAgenda_4H.txt"
"비효율업무제거","조직03","SensingReport","","비효율업무제거_조직03_SensingReport.txt","비효율업무제거/비효율업무제거_조직03_SensingReport.txt"
"비효율업무제거","조직04 비효율 업무 개선 워크숍 퍼실리테이션","진행자료","","비효율업무제거_조직04 비효율 업무 개선 워크숍 퍼실리테이션_진행자료.txt","비효율업무제거/비효율업무제거_조직04 비효율 업무 개선 워크숍 퍼실리테이션_진행자료.txt"
"비효율업무제거","조직04 비효율업무 개선 워크숍","DetailAgenda","7H","비효율업무제거_조직04 비효율업무 개선 워크숍_DetailAgenda_7H.txt","비효율업무제거/비효율업무제거_조직04 비효율업무 개선 워크숍_DetailAgenda_7H.txt"
"비효율업무제거","조직13 Shift 업무 다이어트 워크숍","진행자료","8H","비효율업무제거_조직13 Shift 업무 다이어트 워크숍_진행자료_8H.txt","비효율업무제거/비효율업무제거_조직13 Shift 업무 다이어트 워크숍_진행자료_8H.txt"
"비효율업무제거","조직13 비효율 업무 제거 워크숍 프로젝트03","SensingReport","","비효율업무제거_조직13 비효율 업무 제거 워크숍 프로젝트03_SensingReport.txt","비효율업무제거/비효율업무제거_조직13 비효율 업무 제거 워크숍 프로젝트03_SensingReport.txt"
"비효율업무제거","조직23 비효율 업무 개선 워크숍 프로젝트03","DetailAgenda","8H","비효율업무제거_조직23 비효율 업무 개선 워크숍 프로젝트03_DetailAgenda_8H.txt","비효율업무제거/비효율업무제거_조직23 비효율 업무 개선 워크숍 프로젝트03_DetailAgenda_8H.txt"
"샘플","수정예시","DetailAgenda","","샘플_수정예시_DetailAgenda.txt","기타/샘플_수정예시_DetailAgenda.txt"
"전략","조직02 팀 방향성 및 전략 수립 워크숍","DetailAgenda","8H","전략_조직02 팀 방향성 및 전략 수립 워크숍_DetailAgenda_8H.txt","전략/전략_조직02 팀 방향성 및 전략 수립 워크숍_DetailAgenda_8H.txt"
"전략","조직02 팀 방향성 및 전략 수립 워크숍","계획서","","전략_조직02 팀 방향성 및 전략 수립 워크숍_계획서.txt","전략/전략_조직02 팀 방향성 및 전략 수립 워크숍_계획서.txt"
"전략","조직02 팀 방향성 확인과 전략 수립 워크숍","진행자료","8H","전략_조직02 팀 방향성 확인과 전략 수립 워크숍_진행자료_8H.txt","전략/전략_조직02 팀 방향성 확인과 전략 수립 워크숍_진행자료_8H.txt"
"조직문화개선","조직10 즐겁게 일할 수 있는 조직문화 워크숍","DetailAgenda","4H","조직문화개선_조직10 즐겁게 일할 수 있는 조직문화 워크숍_DetailAgenda_4H.txt","조직문화개선/조직문화개선_조직10 즐겁게 일할 수 있는 조직문화 워크숍_DetailAgenda_4H.txt"
"조직문화개선","조직10 퍼실리테이션 워크숍","계획서","","조직문화개선_조직10 퍼실리테이션 워크숍_계획서.txt","조직문화개선/조직문화개선_조직10 퍼실리테이션 워크숍_계획서.txt"
"조직문화개선","조직17 성장 워크숍","DetailAgenda","","조직문화개선_조직17 성장 워크숍_DetailAgenda.txt","조직문화개선/조직문화개선_조직17 성장 워크숍_DetailAgenda.txt"
"조직문화개선","조직17 성장 워크숍","진행자료","","조직문화개선_조직17 성장 워크숍_진행자료.txt","조직문화개선/조직문화개선_조직17 성장 워크숍_진행자료.txt"
"조직문화개선","조직18 소통문화 조성 워크숍","DetailAgenda","","조직문화개선_조직18 소통문화 조성 워크숍_DetailAgenda.txt","조직문화개선/조직문화개선_조직18 소통문화 조성 워크숍_DetailAgenda.txt"
"조직문화개선","조직18 소통문화 조성 워크숍","계획서","","조직문화개선_조직18 소통문화 조성 워크숍_계획서.txt","조직문화개선/조직문화개선_조직18 소통문화 조성 워크숍_계획서.txt"
"조직문화개선","조직18 소통문화 조성 워크숍","진행자료","","조직문화개선_조직18 소통문화 조성 워크숍_진행자료.txt","조직문화개선/조직문화개선_조직18 소통문화 조성 워크숍_진행자료.txt"
"조직문화개선","조직19 즐겁게 일할 수 있는 조직문화 워크숍","진행자료","","조직문화개선_조직19 즐겁게 일할 수 있는 조직문화 워크숍_진행자료.txt","조직문화개선/조직문화개선_조직19 즐겁게 일할 수 있는 조직문화 워크숍_진행자료.txt"
"조직문화개선","조직24 조직문화 개선 워크숍","진행자료","","조직문화개선_조직24 조직문화 개선 워크숍_진행자료.txt","조직문화개선/조직문화개선_조직24 조직문화 개선 워크숍_진행자료.txt"
"조직문화개선","조직26 조직 문화 개선 워크숍","계획서","","조직문화개선_조직26 조직 문화 개선 워크숍_계획서.txt","조직문화개선/조직문화개선_조직26 조직 문화 개선 워크숍_계획서.txt"
"조직문화개선","조직26 조직문화 개선 워크숍","DetailAgenda","8H","조직문화개선_조직26 조직문화 개선 워크숍_DetailAgenda_8H.txt","조직문화개선/조직문화개선_조직26 조직문화 개선 워크숍_DetailAgenda_8H.txt"
"조직문화개선","조직26 조직문화 개선 워크숍","진행자료","8H","조직문화개선_조직26 조직문화 개선 워크숍_진행자료_8H.txt","조직문화개선/조직문화개선_조직26 조직문화 개선 워크숍_진행자료_8H.txt"
"조직문화개선","조직27","SensingReport","","조직문화개선_조직27_SensingReport.txt","조직문화개선/조직문화개선_조직27_SensingReport.txt"
"조직문화개선","조직28 소통 강화를 위한 퍼실리테이션 워크샵","DetailAgenda","6H","조직문화개선_조직28 소통 강화를 위한 퍼실리테이션 워크샵_DetailAgenda_6H.txt","조직문화개선/조직문화개선_조직28 소통 강화를 위한 퍼실리테이션 워크샵_DetailAgenda_6H.txt"
